,Date,Class Schedule,School Wide Event,Calc 2 Schedule,
,"Friday, August 25, 2023",,First-year students and transfers arrive,,
,"Sunday, August 27, 2023",,Returning students arrive,,
,"Monday, August 28, 2023",,Registration Day,,
,"Tuesday, August 29, 2023",,Classes begin,,
,"Wednesday, August 30, 2023",,All-College Convocation,,
,"Monday, September 4, 2023",Review of Derivatives,2,Review of Derivatives,
,"Monday, September 4, 2023",,Labor Day: Regular class day,,
,"Monday, September 4, 2023",,Last day to add/drop,,
,"Wednesday, September 6, 2023",Review of Integrals and Limits,4,Review of Integrals and Limits,
,"Thursday, September 7, 2023",Q & A / Extra Credit 11:20 - 12:20,,,
,"Friday, September 8, 2023",4.5 u-substitutions,6,4.5 u-substitutions,
,"Monday, September 11, 2023",4.5 u-substitutions continued,2,4.5 u-substitutions continued,
,"Wednesday, September 13, 2023",5.1 Area between curves,4,5.1 Area between curves,
,"Thursday, September 14, 2023",Q & A / Extra Credit 11:20 - 12:20,,,
,"Friday, September 15, 2023",5.2 Volumes with discs and washers,6,5.2 Volumes with discs and washers,
,"Monday, September 18, 2023",5.3 Volumes with shells,2,5.3 Volumes with shells,
,"Wednesday, September 20, 2023",7.1 Integration by parts,4,7.1 Integration by parts,
,"Thursday, September 21, 2023",Q & A / Extra Credit 11:20 - 12:20 SS209,,,
,"Friday, September 22, 2023",7.2 Trig integrals,6,7.2 Trig integrals,
,"Monday, September 25, 2023",7.2 More trig integrals,2,7.2 More trig integrals,
,"Wednesday, September 27, 2023",7.3 Trig substitutions,4,7.3 Trig substitutions,
,"Thursday, September 28, 2023",Q & A / Extra Credit 11:20 - 12:20,,,
,"Friday, September 29, 2023",7.4 Partial Fractions and Inverse Tan integrals,6,7.4 Partial Fractions and Inverse Tan integrals,
,"Monday, October 2, 2023",7.5 Integration Strategies,2,7.5 Integration Strategies,
,"Wednesday, October 4, 2023",Exam 1 Review,4,Exam 1 Review,
,"Thursday, October 5, 2023",Q & A / Extra Credit 11:20 - 12:20,,,
,"Friday, October 6, 2023",EXAM 1,6,EXAM 1,
,"Monday, October 9, 2023",7.6 & 7.8 Tables and improper integrals,2,7.6 & 7.8 Tables and improper integrals,
,"Wednesday, October 11, 2023",7.8 Improper integrals continued,4,7.8 Improper integrals continued,
,"Thursday, October 12, 2023",Q & A / Extra Credit 11:20 - 12:20,,,
,"Friday, October 13, 2023",8.1 Arc length,6,8.1 Arc length,
,"Saturday, October 14, 2023",Family Weekend/Homecoming,Family Weekend/Homecoming,,
,"Monday, October 16, 2023",8.2 Surface area,2,8.2 Surface area,
Is there something specific to achieve before Mid Term Grades,"Wednesday, October 18, 2023",8.5 Probability,4,8.5 Probability,
,"Wednesday, October 18, 2023",Mid-Term Grades Due,Mid-Term Grades Due,,
,"Thursday, October 19, 2023","Fall Break, No Classes","Fall Break, No Classes",,
,"Friday, October 20, 2023","Fall Break, No Classes","Fall Break, No Classes",,
,"Monday, November 6, 2023",,Last day to withdraw,,
,"Monday, October 23, 2023",9.3 Separable differential equations,2,9.3 Separable differential equations,
,"Wednesday, October 25, 2023",10.1 Parametric equations,4,10.1 Parametric equations,
,"Thursday, October 26, 2023",Q & A / Extra Credit 11:20 - 12:20,,,
,"Friday, October 27, 2023",10.2 Calculus with parametric equations,6,10.2 Calculus with parametric equations,
,"Monday, October 30, 2023",10.3 Polar coordinates,2,10.3 Polar coordinates,
,"Wednesday, November 1, 2023",Exam 2 Review,5,Exam 2 Review,
,"Thursday, November 2, 2023",Q & A / Extra Credit 11:20 - 12:20,,,
,"Friday, November 3, 2023","EXAM 2, Last day to withdraw",2,EXAM 2,
,"Monday, November 6, 2023",10.4 Areas with polar coordinates,5,10.4 Areas with polar coordinates,
,"Wednesday, November 8, 2023",11.1 Sequences,4,11.1 Sequences,
,"Thursday, November 9, 2023",Q & A / Extra Credit 11:20 - 12:20,,,
,"Friday, November 10, 2023",11.2 Series,6,11.2 Series,
,"Monday, November 13, 2023",11.3 Integral test,2,11.3 Integral test,
,"Wednesday, November 15, 2023",11.4 Comparison tests,4,11.4 Comparison tests,
,"Thursday, November 16, 2023",Q & A / Extra Credit 11:20 - 12:20,,,
,"Friday, November 17, 2023",11.5 Alternating series test,6,11.5 Alternating series test,
,"Thursday, December 7, 2023",,Last Day of Classes,,
,"Friday, December 8, 2023",,College Reading Day,,
,"Monday, November 20, 2023",11.6 Ratio test,2,11.6 Ratio test,
,"Monday, December 11, 2023",,"Final Exam Week
*Dec. 15 Snow Make up Day",,
,"Tuesday, December 12, 2023",,"Final Exam Week
*Dec. 15 Snow Make up Day",,
,"Wednesday, December 13, 2023",,4,,
,"Wednesday, December 13, 2023",,"Final Exam Week
*Dec. 15 Snow Make up Day",,
,"Thursday, December 14, 2023",,"Final Exam Week
*Dec. 15 Snow Make up Day",,
,"Friday, December 15, 2023",,6,,
,"Friday, December 15, 2023",,December Commencement,,
,"Friday, December 15, 2023",,Christmas Recess Begins,,
,"Monday, December 18, 2023",,2,,
,"Monday, December 18, 2023",,All Fall Grades Due,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
